排行,代號,名稱,產業,目前股價,MA240,240MA乖離率,配息頻率,指標1得分(殖利率),指標2得分(填息),指標3得分(連續配息),指標4得分(上市時間),指標5得分(連續獲利),指標6得分(ROA),指標7得分(本業佔比),總分,評級,原始評級,5年平均殖利率,5年平均填息天數,10年平均ROA,平均本業佔比,近3月營收YoY,最新月MoM,備註
23,3376,新日興,電子,216.5,209.4728975,3.354659521048547,年配,1,1,1,1,1,1,1,7,入選,入選,4.310852551060621,154.33333333333334,6.682160766225318,0.8411782790149779,-29.248501151207062,21.51399865626422,營收衰退警示 | 營運動能復甦中
24,5439,高技,電子,274.0,262.96020791666666,4.198274777312277,年配,1,1,1,1,1,2,1,8,入選,入選,4.084586921657681,42.5,9.93768884216884,0.9806048725194264,131.98328665151075,-25.393121849985178,
25,4532,瑞智,傳統產業,26.4,25.33456541666667,4.2054582970364205,年配,1,1,1,1,1,0,1,6,入選,入選,4.229046391371249,23.666666666666668,3.6450461334335804,0.789961509709332,-20.45025160699635,14.199431034669963,營收衰退警示 | ROA 偏低，注意營運效率
26,2412,中華電,電子,136.5,130.70778458333334,4.431423449743968,年配,0,1,1,1,1,2,1,7,入選,入選,3.710884474752106,304.6666666666667,7.877046647549794,0.9847526751057533,0.4554960666808494,8.439378571046019,填息龜速警示
27,3492,長盛,電子,24.85,23.7680375,4.552174322343623,年配,0,1,1,1,1,1,1,6,入選,入選,3.134351350253489,35.666666666666664,5.649680631073373,0.7063932964430648,-4.408676429953029,13.771493600636031,
28,8070,長華*,電子,43.7,41.76999250000001,4.620559843289401,半年配,1,1,1,1,1,2,1,8,入選,入選,5.639284497689736,125.83333333333333,8.026798056853076,0.7343689787847202,13.774619040728409,8.40751814791114,
29,6411,晶焱,半導體,78.2,74.30579041666667,5.24078885574962,年配,1,1,1,1,1,2,1,8,入選,入選,4.147934300344255,38.333333333333336,11.998941739659852,0.8596358730832471,-12.205484184795257,2.2249162799479194,
30,3413,京鼎,半導體,308.0,292.02577375,5.47014259901435,年配,1,1,1,1,1,2,1,8,入選,入選,4.138556981222975,34.0,12.77342669963664,0.954631602997809,8.916265939241953,-5.303234217820507,
31,4953,緯軟,電子,116.5,109.86179666666666,6.042321839569409,年配,1,1,1,1,1,1,1,7,入選,入選,4.459348656736878,76.0,9.485655506470632,0.9044166038062912,19.969624245723484,8.926277183076614,
32,3042,晶技,電子,92.5,86.77002041666667,6.603639777676859,年配,1,1,1,1,1,2,1,8,入選,入選,5.248868894569123,83.0,8.898612379231732,0.8911222906549925,-0.1026540396588338,-12.753487611248282,
33,2382,廣達,電子,289.0,269.93788916666665,7.061665515789785,半年配,1,1,1,1,1,0,1,6,入選,入選,5.429497551073674,79.33333333333333,3.929939892547668,0.8499018604088114,53.6432952885973,41.227947011780365,營運動能復甦中 | ROA 偏低，注意營運效率
34,5522,遠雄,傳統產業,68.1,63.52021541666667,7.209963872590489,半年配,1,1,1,1,1,0,1,6,入選,入選,6.777503841753614,196.66666666666666,4.258178473250893,1.0278171591189227,349.8401651511699,-66.20077393002383,填息龜速警示 | ROA 偏低，注意營運效率
35,3338,泰碩,電子,57.2,53.34590041666667,7.224734334279241,年配,0,1,1,1,1,1,1,6,入選,入選,3.3160083856277676,29.166666666666668,5.794915477981142,0.8995020797655453,-13.444556989690204,-6.443515770631025,
36,1712,興農,傳統產業,46.35,42.97229166666667,7.860200613767586,年配,2,1,1,1,1,1,1,8,入選,入選,6.094167190346827,166.83333333333334,5.320628800598229,1.0019680343942832,0.3954506995464735,2.0328041209585868,
37,9927,泰銘,其他,68.2,63.22940375,7.861210062414988,年配,1,1,1,1,1,2,1,8,入選,入選,7.150038776720866,96.0,10.038653681118394,0.9084111157943928,3.913144919043998,7.635472710661406,
